Diminutiv	Sursa	Sufix	Comentariu
vălurel	val	urel
vătășel	vătaf	el
vânticel	vânt	icel
vânturel	vânt	urel
vergel	vergea	el
verigel	verigă	el
versurel	vers	urel
vinderel	vindereu	el
vistiernicel	vistiernic	el
vișinel	vișin	el
voinicel	voinic	el
volocel	voloc	el
vornicel	vornic	el
vrescurel	vreasc	urel
vulturel	vultur	el
zăhărel	zahăr	el
zărzărel	zarzăr	el
zăbunel	zăbun	el	înv., pop.
zidurel	zid	urel	zid + ur + el
zulufel	zuluf	el
