Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
melițuică		1		meliță	uică
memorialistică		0		memorialist	ică
merișor	1	1		măr	ișor
mertic		0		metru	ic
mesapică		0		mesap	ică
meseriaș	A	0		meserie	aș
mesișoară		1		masă	ișoară
mestecănaș	1	1		mesteacăn	aș
meșteraș	1	1		meșter	aș
meșteriță	Fem	0		meșter	iță
metamatematică		0		matematic	ică
meteorică		0		meteor	ică
meteoritică		0		meteorit	ică
metodică		0		metodă	ică
mielușel	1	1		mieluș	el
mielușică		1		mieluș	ică
mielușor		1		miel	ușor
mierlică		1		mierlă	ică
mierliță		1		mierlă	iță
mierlușcă		1		mierlă	ușcă
miișoară		1		mie	ișoară
mijlocaș	A	0		mijloc	aș
mijlocel	1	1		mijloc	el
minciunică		1		minciună	ică
mineriță	Fem	0		miner	iță
miniaturistică		0		miniaturist	ică
mioriță		1		mioară	iță
mititel	1	1	din adj. Dim.	mic	itel
mlăștiniță		1		mlaștină	iță
mnemotehnică		0		mnemotehnie	ică
mocănaș	1	1		mocan	aș
mocăniță	Fem	0		mocan	iță
moftangioaică	Fem	0		moftangiu	ică
morăraș	1	1		morar	aș
morărel	1	1		morar	el
morcovel	1	1		morcov	el
morunaș	1	1		morun	aș
mosoraș	1	1		mosor	aș
mosorel	1	1		mosor	el
moșieriță	Fem	0		moșier	iță
moșioară		1		moș	ioară
moșnegel	1	1		moșneag	el
moșneguț		1		moșneag	uț
moșuleț		1		moș	uleț
moșulică		1		moș	ulică
motănaș	1	1		motan	aș
motănel	1	1		motan	el
motocel	1	1		motoc	el
motoraș	1	1		motor	aș
moviliță		1		movilă	iță
muget		0		mugi	et
muguraș	1	1		mugur	aș
mugurel	1	1		mugur	el
muieret		0		muiere	et
muierușă		1		muiere	ușă
muierușcă		1		muiere	ușcă
multiplet		0		multiplu	et
munculiță		1		muncă	uliță
muncușoară		1		muncă	ușoară
mundiraș	1	1		mundir	aș
munticel	1	1	munte + icel	munte	icel
munticel		1		munte	icel
muntișor	1	1		munte	ișor
muntișor		1		munte	ișor
murguleț		1		murg	uleț
murgușor		1		murg	ușor
murișoară		1		mură	ișoară
musculiță		1		muscă	uliță
mustăcioară		1		mustață	ioară
mușchiuleț		1		mușchi	uleț
mușețel	1	1	plantă, adj	mușat	el
mutrișoară		1		mutră	ișoară
mutulică		1		mut	ulică
nădrăgel	1	1		nădrag	el
năfrămioară		1		năframă	ioară
năfrămiță		1		năframă	iță
nănaș	1	1		nun	aș
năprasnic		0		năprasnă	ic
năprasnică		0		năprasnă	ică
năsturaș	1	1		nasture	aș
năsturel	1	1		nasture	el
nășel	1	1		naș	el
nefritic		0		nefrit	ic
negel	1	1		neg	el
negrișor	1	1		negru	ișor
negrișor		1		negru	ișor
negrușcă		1		negru	ușcă
negustoraș	1	1		negustor	aș
negustoriță	Fem	0		negustor	iță
neiculiță		1		neică	uliță
neicușor		1		neică	ușor
nemțișor	1	1		neamț	ișor
nenișor	1	1		nene	ișor
nenoroc		0		noroc	oc
neoromantic		0		necromant	ic
nepoțel	1	1		nepot	el
nepoțică		1		nepoată	ică
netrebnic		0		treabă	ic
neurastenic		0		neurastenie	ic
neurocibernetică		0		cibernetic	ică
neuroplegic		0		neuroplegie	ic
nevăstuică		1		nevastă	uică
nevestică		1		nevastă	ică
nevoiaș	A	0		nevoie	aș
nevolnic		0		nevoie	ic
nopticică		1		noapte	icică
noptiță		1		noapte	iță
norișor	1	1		nor	ișor
norișor		1		nor	ișor
norocel	1	1		noroc	el
noruleț		1		nor	uleț
nostalgic		0		nostalgie	ic
nouraș	1	1		nour	aș
nourel	1	1		nour	el
nucleonică		0		nucleon	ică
numismatică		0		numismat	ică
nuntaș	A	0		nuntă	aș
nuvelică		1		nuvelă	ică
nuvelistică		0		nuvelist	ică
oblonaș	1	1		oblon	aș
obrăjel	1	1		obraz	el
ochișor	1	1		ochi	ișor
ochișor		1		ochi	ișor
ochiuleț		1		ochi	uleț
ocnaș	A	0		ocnă	aș
ocolaș	1	1		ocol	aș
octet		0		opt	et
ocultistică		0		ocultist	ică
odăiaș	A	0		odaie	aș
odoraș	1	1		odor	aș
ofițeraș	1	1		ofițer	aș
ogoraș	1	1		ogor	aș
ogrădaș	A	0		ogradă	aș
oiță		1		oaie	iță
onomastică		0		onomastic	ică
orășel	1	1		oraș	el
orândaș	A	0		orândă	aș
orientalistică		0		orientalist	ică
ornamentică		0		ornament	ică
oronimic		0		oronim	ic
orzișor	1	1		orz	ișor
osișor	1	1		os	ișor
ospătăriță		1		ospătar	iță
ostaș	A	0		oaste	aș
ostrovel	1	1		ostrov	el
ostrovuț		1		ostrov	uț
oușor		1		ou	ușor
pachețel	1	1		pachet	el
palavragioaică		0		palavragiu	ică
paltonaș	1	1		palton	aș
paneraș	1	1		paner	aș
pantalonaș	1	1		pantalon	aș
pantofior		1		pantof	ior
papagaliță	Fem	0		papagal	iță
papucaș	1	1		papuc	aș
papucel	1	1		papuc	el
paraplegic		0		paraplegie	ic
parasimpatic		0		simpatic	ic
pardesiaș	1	1		pardesiu	aș
patronimic		0		patronim	ic
păcurăraș	1	1		păcurar	aș
păcurărel	1	1		păcurar	el
păcurăriță	Fem	0		păcurar	iță
păgubaș	A	0		pagubă	aș
păhăraș	1	1		pahar	aș
păhărel	1	1		pahar	el
păhărnicel	1	1		paharnic	el
păhărnicel		1		paharnic	el
păienjenel	1	1		păianjen	el
păișor	1	1		pai	ișor
pălmaș	A	0		palmă	aș
păloșel	1	1		paloș	el
păltinaș	1	1		paltin	aș
păltinel	1	1		paltin	el
pămânțel	1	1		pământ	el
păpurică		1		papură	ică
păpușică		1		păpușă	ică
păraș	A	0	pescar cu parul	par	aș
părințel	1	1		părinte	el
părtaș	A	0		parte	aș
păsărică		1		pasăre	ică
păsăruică		1		pasăre	uică
păstoraș	1	1		păstor	aș
păstorel	1	1		păstor	el
păstoriță	Fem	0		păstor	iță
păstrăvior		1		păstrăv	ior
pătișor	1	1		pat	ișor
pătrățel	1	1		pătrat	el
pătrișor	1	1		patru	ișor
păturică		1		pătură	ică
păunaș	1	1		păun	aș
păunel	1	1		păun	el
păuniță	Fem	0		păun	iță
pâinică		1		pâine	ică
pâinișoară		1		pâine	ișoară
pâiniță		1		pâine	iță
pâlculeț		1		pâlc	uleț
pâlcușor		1		pâlc	ușor
pândaș	A	0		pândă	aș
pântecel	1	1		pântec	el
pântecuț		1		pântec	uț
pânzișoară		1		pânză	ișoară
pânzuliță		1		pânză	uliță
pârâiaș	1	1		pârâu	aș
pârtioară		1		pârtie	ioară
pedestraș	A	0		pedestru	aș
peisagistică		0		peisagist	ică
pelinariță	Fem	0		pelin	iță
pelinaș	1	1		pelin	aș
pepenaș	1	1		pepene	aș
pepenoaică	Fem	0		pepene	ică
perechiușă		1		pereche	ușă
perișoară		1		pară	ișoară
perișor	1	1		păr	ișor
pernișoară		1		pernă	ișoară
perniță		1		pernă	iță
pescăraș	1	1		pescar	aș
pescărel	1	1		pescar	el
pescăriță	Fem	0		pescar	iță
pesmecior		1		pesmet	ior
peștișor	1	1		pește	ișor
peștișor		1		pește	ișor
peticel	1	1		petic	el
peticuț		1		petic	uț
picăturică		1		picătură	ică
picioruș		1		picior	uș
picioruț		1		picior	uț
pictoriță	Fem	0		pictor	iță
piculeț		1		pic	uleț
picușor		1		pic	ușor
pielicică		1		piele	icică
pielișoară		1		piele	ișoară
pieptănariță		0		pieptănare	iță
pieptănaș	1	1		pieptăn	aș
pieptănel	1	1		pieptăn	el
pieptănuș		1		pieptăn	uș
pieptăraș	1	1		pieptar	aș
pieptărel	1	1		pieptar	el
pieptăruț		1		pieptar	uț
piesuliță		1		piesă	uliță
pietricică		1		piatră	icică
pietroșel	1	1	pește	pietros	el
pihotaș	A	0		pihotă	aș
pintenaș	1	1		pinten	aș
pipiriguț		1		pipirig	uț
pirotehnică		0		pirotehnie	ică
pisculeț		1		pisc	uleț
piscușor		1		pisc	ușor
pisicuț		1		pisic	uț
pisoiaș	1	1		pisoi	aș
pistolaș	1	1		pistol	aș
pistolet		0		pistol	et
pitărel	1	1		pitar	el
pivnicioară		1		pivniță	ioară
pizmaș	A	0		pizmă	aș
plastic		0		plastă	ic
plastică		0		plastă	ică
plăcintioară		1		plăcintă	ioară
plăcințică		1		plăcintă	ică
plăișor	1	1		plai	ișor
plăpumioară		1		plapumă	ioară
plăpumiță		1		plapumă	iță
plânset		0		plâns	et
pleșcaș	A	0		pleașcă	aș
pleuritic		0		pleurită	ic
pliculeț		1		plic	uleț
plimbărică		1		plimbare	ică
pliscușor		1		plisc	ușor
ploconaș	1	1		plocon	aș
plopușor		1		plop	ușor
ploscaș	A	0		ploscă	aș
pluguleț		1		plug	uleț
plugușor		1		plug	ușor
plumbișor	1	1		plumb	ișor
plumbișor		1		plumb	ișor
plutaș	A	0		plută	aș
pocheraș	1	1		pocher	aș
podișor	1	1		pod	ișor
poduleț		1		pod	uleț
podurel	1	1	pod + ur + el	pod	urel
poetaș	1	1		poet	aș
poetică		0		poet	ică
pogonaș	1	1		pogon	aș
polobocel	1	1		poloboc	el
pologaș	A	0		polog	aș
pomanagioaică		0		pomanagiu	ică
pomișor	1	1		pom	ișor
pomișor		1		pom	ișor
pontaș	A	0		a ponta	aș
porcoiaș	1	1		porcoi	aș
porculeț		1		porc	uleț
portărel	1	1		portar	el
portretistică		0		portretist	ică
porumbaș	1	1		porumb	aș
porumbel	1	1		porumb	el
postăvior		1		postav	ior
postelnicel	1	1		postelnic	el
posterior		0		poster	ior
poștaș	A	0		poștă	aș
poștăriță	Fem	0		poștar	iță
potcaș	A	0		potcă	aș
poteraș	A	0		poteră	aș
potiraș	1	1		potir	aș
povestaș	A	0		poveste	aș
povestioară		1		poveste	ioară
pravoslavnic		0		pravoslavie	ic
prăfuleț		1		praf	uleț
prăjiturică		1		prăjitură	ică
prăștiaș	A	0		praștie	aș
prăvăliaș	A	0		prăvălie	aș
prăvălioară		1		prăvălie	ioară
prânzișor	1	1		prânz	ișor
prânzișor		1		prânz	ișor
prânzuleț		1		prânz	uleț
priboiaș	1	1		priboi	aș
pricinaș	A	0		pricină	aș
primăriță	Fem	0		primar	iță
primăvăriță		1		primăvară	iță
prințișor	1	1		prinț	ișor
prințișor		1		prinț	ișor
prisăcăriță	Fem	0		prisăcar	iță
prispișoară		1		prispă	ișoară
prispuliță		1		prispă	uliță
prispușoară		1		prispă	ușoară
pristolnic		0		pristol	ic
problematică		0		problemist	ică
profesoraș	1	1		profesor	aș
prosopel	1	1		prosop	el
prostatic		0		prostată	ic
provincioară		1		provincie	ioară
prunculeț		1		prunc	uleț
pruncușor		1		prunc	ușor
pruncuț		1		prunc	uț
prundaș	A	0	pasăre	prund	aș
prundăraș	A	0	pasăre	prund	ăraș
prundișor	1	1		prund	ișor
prundișor		1		prund	ișor
prunduiaș	1	1		prund	aș
prunduleț		1		prund	uleț
prundurel	1	1	prund + ur + el	prund	urel
prunduț		1		prund	uț
prunișoară		1		prună	ișoară
prunișor	1	1		prun	ișor
prunișor		1		prun	ișor
psihastenic		0		psihastenie	ic
publicistică		0		publicist	ică
puchițel	1	1		puchi	ițel
pugilistică		0		pugilist	ică
puiculiță		1		puică	uliță
puișor	1	1		pui	ișor
pulpișoară		1		pulpă	ișoară
pulpiță		1		pulpă	iță
pumnaș	A	0		pumn	aș
pumnicel	1	1	pumn + icel	pumn	icel
pumnicel		1		pumn	icel
pumnișor	1	1		pumn	ișor
pumnișor		1		pumn	ișor
punctișor	1	1		punct	ișor
punctișor		1		punct	ișor
punctuleț		1		punct	uleț
pungaș	A	0		pungă	aș
pungășoaică		0		pungășie	ică
punguliță		1		pungă	uliță
punticică		1		punte	icică
puntișoară		1		punte	ișoară
purcelaș	1	1		purcel	aș
purceluș		1		purcel	uș
purcelușă		1		purcel	ușă
purcoiaș	1	1		porcoi	aș
puricaș	1	1		purice	aș
puricel	1	1		purice	el
pușcaș	A	0		pușcă	aș
pușcăriaș	A	0		pușcărie	aș
pușculiță		1		pușcă	uliță
puștiulică		1		puști	ulică
putinică		1		putină	ică
putorișcă		1		putoare	ișcă
rachiaș	1	1		rachiu	aș
radiodiagnostic		0		diagnostic	ic
răcănel	1	1		răcan	el
răchițică		1		răchită	ică
răftuleț		1		raft	uleț
rămășiță		0		rămas	iță
răsuflet		0		răsuflu	et
rățișoară		1		rață	ișoară
rățoiaș	1	1		rățoi	aș
răvășel	1	1		răvaș	el
războinic		0		războire	ic
răzeșiță	Fem	0		răzeș	iță
rândaș	A	0		a rândui	aș
rânduleț		1		rând	uleț
rândunel	1	1	rândunea -ea +el	rândunea	el
reporteraș	1	1		reporter	aș
reporteriță	Fem	0		reporter	iță
retorică		0		retor	ică
retușor		0		retuș	ușor
ridichioară		1		ridiche	ioară
robotică		0		robot	ică
rockeriță	Fem	0		rocker	iță
roibuleț		1		roib	uleț
romanistică		0		romanist	ică
romantic		0		romanță	ic
românaș	1	1		român	aș
românistică		0		românist	ică
rotaș	A	0		roată	aș
rufușoară		1		rufă	ușoară
runculeț		1		runc	uleț
ruptaș	A	0		rupt	aș
rutișor	1	1	plantă	rută	ișor
salonaș	1	1		salon	aș
satiric		0		satir	ic
săgetaș	A	0	arcaș	săgeată	aș
săgețică		1		săgeată	ică
sălășel	1	1		sălaș	el
sălbuliță		1		salbă	uliță
sălcioară		1		salcie	ioară
săniuș		0		sanie	uș
săpunel	1	1		săpun	el
săpușoară		1		sapă	ușoară
săricică		1		sare	icică
săticel	1	1		sat	icel
săticel		1		sat	icel
sătișor	1	1		sat	ișor
sătișor		1		sat	ișor
sâmbraș	A	0		sâmbră	aș
sâmburel	1	1		sâmbure	el
sânișor	1	1		sân	ișor
sântuleț		1		sânt	uleț
sârmuliță		1		sârmă	uliță
sârmușoară		1		sârmă	ușoară
scandalagioaică		0		scandalagiu	ică
scăricică		1		scară	icică
scărișoară		1		scară	ișoară
scăunaș	1	1		scaun	aș
scăunel	1	1		scaun	el
scândurică		1		scândură	ică
scânduriță		1		scândură	iță
schimbaș	A	0	soldat	schimb	aș
schituleț		1		schit	uleț
schizofrenic		0		schizofrenie	ic
sclerotică		0		sclerot	ică
scolastică		0		scolast	ică
scorbutic		0		scorbut	ic
scorțăraș	1	1		scorțar	aș
scorțărel	1	1		scorțar	el
scorțișoară		1		scoarță	ișoară
scorțișor	1	1		scoarță	ișor
scriitoraș	1	1		scriitor	aș
scrisorică		1		scrisoare	ică
scrumbioară		1		scrumbie	ioară
scufiță		1		scufă	iță
sculișoară		1		sculă	ișoară
sculișor	1	1		scul	ișor
sculptoriță	Fem	0		sculptor	iță
semincioară		1		sămânță	ioară
serodiagnostic		0		diagnoză	ic
sertăraș	1	1		sertar	aș
sertărel	1	1		sertar	el
sfănțișor	1	1		sfanț	ișor
sfănțișor		1		sfanț	ișor
sfântuleț		1		sfânt	uleț
sfertișor	1	1		sfert	ișor
sfertișor		1		sfert	ișor
sfertuleț		1		sfert	uleț
sfeșnicel	1	1		sfeșnic	el
sfințișor	1	1		sfânt	ișor
sfințișor		1		sfânt	ișor
sforicică		1		sfoară	icică
sforișoară		1		sfoară	ișoară
sfredeluș		1		sfredel	uș
sibiaș	A	0	ață groasă	sibiu	aș
sicriaș	1	1		sicriu	aș
silogistică		0		silogism	ică
simbolică		0		simbol	ică
simbolistică		0		simbolist	ică
simbriaș	A	0		simbrie	aș
sinețel	1	1		sineț	el
sinonimică		0		sinonim	ică
sipețel	1	1		sipet	el
slavistică		0		slavist	ică
sluguliță		1		slugă	uliță
slujbaș	A	0		slujbă	aș
slujbuliță		1		slujbă	uliță
slujbușoară		1		slujbă	ușoară
smântânică		1		smântână	ică
smoculeț		1		smoc	uleț
smocușor		1		smoc	ușor
snopuleț		1		snop	uleț
snopușor		1		snop	ușor
sobușoară		1		sobă	ușoară
sociolingvistică		0		sociolingvist	ică
sofistică		0		sofist	ică
soldățel	1	1		soldat	el
solzișor	1	1		solz	ișor
solzișor		1		solz	ișor
somnișor	1	1		somn	ișor
somnișor		1		somn	ișor
somnuleț		1		somn	uleț
soțioară		1		soție	ioară
spanioloaică		0		spaniol	ică
spătărel	1	1		spătar	el
speakeriță	Fem	0		speaker	iță
spicheriță	Fem	0		spicher	iță
spiculeț		1		spic	uleț
spicușor		1		spic	ușor
spinărușă		1		spinare	ușă
spinișor	1	1		spin	ișor
spinișor		1		spin	ișor
stâlpișor	1	1		stâlp	ișor
stâlpișor		1		stâlp	ișor
stâlpuleț		1		stâlp	uleț
stâlpușor		1		stâlp	ușor
stânișoară		1		stână	ișoară
stânjenel	1	1		stânjen	el
stârculeț		1		stârc	uleț
steguleț		1		steag	uleț
stejăraș	1	1		stejar	aș
stejărel	1	1		stejar	el
sticlete		0		sticlă	ete
sticlețel	1	1		sticlete	el
sticlișoară		1		sticlă	ișoară
sticluliță		1		sticlă	uliță
stilistică		0		stilist	ică
stolișor	1	1		stol	ișor
stolișor		1		stol	ișor
stolnic		0		stolnă	ic
stolnicel	1	1		stolnic	el
stolnicel		1		stolnă	icel
stosișor	1	1		stos	ișor
stosișor		1		stos	ișor
străchioară		1		strachină	ioară
streptococ		0		sărăntoc	oc
strigoiaș	1	1	fluture	strigoi	aș
stropuleț		1		strop	uleț
stropușor		1		strop	ușor
struguraș	1	1		strugure	aș
strugurel	1	1		strugure	el
strungăriță	Fem	0		strungar	iță
struțișor	1	1		struț	ișor
struțișor		1		struț	ișor
sturzișor	1	1		sturz	ișor
sturzișor		1		sturz	ișor
sturzuleț		1		sturz	uleț
suflețel	1	1		suflet	el
sulițaș	A	0		suliță	aș
sulițică		1		suliță	ică
sumănel	1	1		suman	el
sumuliță		1		sumă	uliță
sumușoară		1		sumă	ușoară
sunducel	1	1		sunduc	el
surferiță	Fem	0		surfer	iță
surlaș	A	0		surlă	aș
surlișoară		1		surlă	ișoară
surtucaș	1	1		surtuc	aș
surtucel	1	1		surtuc	el
sutaș	A	0		sută	aș
sutișoară		1		sută	ișoară
șănțișor	1	1		șanț	ișor
șănțuleț		1		șanț	uleț
șănțurel	1	1	(rar)	șanț	urel
șerpaș	A	0	etnie	șerpa	aș
șerpăraș	1	1		șerpar	aș
șerpișor	1	1		șarpe	ișor
șerpoaică	Fem	0		șarpe	ică
șerpurel	1	1		șarpe	urel
șervețel	1	1		șervet	el
șipculiță		1		șipcă	uliță
șipoțel	1	1		șipot	el
șipurel	1	1		șip	urel
șirețel	1	1		șiret	el
șiștărel	1	1		șiștar	el
șleahtic		0		șleahtă	ic
șnurceramică		0		ceramic	ică
șnuruleț		1		șnur	uleț
șoferiță	Fem	0		șofer	iță
șofrănaș	1	1		șofran	aș
șofrănel	1	1		șofran	el
șoimișor	1	1		șoim	ișor
șoimișor		1		șoim	ișor
șoimuleț		1		șoim	uleț
șoimușor		1		șoim	ușor
șomoiogel	1	1		șomoiog	el
șopârliță		1		șopârlă	iță
șoricel	1	1		șoarece	el
șoricioaică	Fem	0		șoarece	ică
șoricuț		1		șoarece	uț
șorțuleț		1		șorț	uleț
ștergărel	1	1		ștergar	el
știubeiaș	1	1		știubei	aș
știuculiță		1		știucă	uliță
ștrengăriță		1		ștrengar	iță
șubuliță		1		șubă	uliță
șugărel	1	1	șugar (adj)	șugar	el
șurubel	1	1		șurub	el
șurubelniță		0		șurubel	iță
tabacioc		0		tabac	oc
taică		1		tată	ică
talgeraș	1	1		talger	aș
tartoriță	Fem	0		tartor	iță
tăbăraș	A	0	soldat	tăbăraș	aș
tăciunaș	1	1		tăciune	aș
tăiculiță		1		taică	uliță
tălgerel	1	1		talger	el
tălpiță		1		talpă	iță
tămâierniță		0		tămâier	iță
tărtănaș	1	1		tartan	aș
tășculiță		1		tașcă	uliță
tătăraș	1	1		tătar	aș
tătăroaică	Fem	0		tătar	ică
tătișor	1	1		tată	ișor
tăuraș	1	1		taur	aș
tâlhăroaică	Fem	0		tâlhar	ică
târguleț		1		târg	uleț
târgușor		1		târg	ușor
târlaș	A	0		târlă	aș
teișor	1	1		tei	ișor
temnicioară		1		temniță	ioară
terapeutică		0		terapeut	ică
terminotică		0		terminat	ică
termoacustică		0		termocarst	ică
tetraplegic		0		tetraplegie	ic
tigrișor	1	1		tigru	ișor
tigrișor		1		tigru	ișor
tinerel	1	1		tânăr	el
tobaș	A	0		tobă	aș
tocăniță		1		tocană	iță
tocmăgel	1	1		tocmagi	el
toiegel	1	1		toiag	el
tolbaș	A	0	negustor ambulant	toblă	aș
tomnatic		0		tomnat	ic
toponimic		0		toponim	ic
toporaș	1	1		topor	aș
toporel	1	1		topor	el
toporișcă		1		topor	ișcă
torțel	1	1		tort	el
tovălaș	1	1		toval	aș
tovărășică		1		tovarăș	ică
tovărășiță		1		tovarăș	iță
trandafiraș	1	1		trandafir	aș
trandafirel	1	1		trandafir	el
trandafiruț		1		trandafir	uț
trăistioară		1		traistă	ioară
trăpaș	A	0		trap	aș
trăsurică		1		trăsură	ică
trâmbicioară		1		trâmbiță	ioară
trâmbițaș	A	0		trâmbiță	aș
trântoriță	Fem	0		trântor	iță
trebușoară		1		treabă	ușoară
trifoiaș	1	1		trifoi	aș
trior		0		tria	ior
triplet		0		triplu	et
trișor		0		trișa	ișor
trompetaș	A	0		trompetă	aș
tronișor	1	1		tron	ișor
tronișor		1		tron	ișor
trunchiuleț		1		trunchi	uleț
trupușor		1		trup	ușor
tubușor		1		tub	ușor
tulburel	1	1	adj	turbure	el
tulnicaș	A	0		tulnic	aș
turculeț		1		turc	uleț
turnișor	1	1		turn	ișor
turnișor		1		turn	ișor
turnuleț		1		turn	uleț
turtișoară		1		turtă	ișoară
turturel	1	1	turturea NOT IN DOOM3	turturea	el
tutungioaică	Fem	0		tutungiu	ică
țăndărică		1		țandără	ică
țărcușor		1		țarc	ușor
țărișoară		1		țară	ișoară
țânțăraș	1	1		țânțar	aș
țâțișoară		1		țâță	ișoară
țevișoară		1		țeavă	ișoară
țigănaș	1	1		țigan	aș
țigăncușă		1		țigancă	ușă
țigănel	1	1		țigan	el
țimiraș	A	0	poștaș	țimir	aș
țintaș	A	0		țintă	aș
țintișoară		1		țintă	ișoară
ținutaș	A	0		ținutaș	aș
țuiculiță		1		țuică	uliță
ucenică	Fem	0		ucenic	ică
ucigaș	A	0	Ucig (prezent indicativ popular al lui ucide)	ucig	aș
udăturică		1		udătură	ică
uiemaș	A	0		uium	aș
ulcioraș	1	1		ulcior	aș
ulcioruș		1		ulcior	uș
ulișor	1	1		uliu	ișor
ultraviolet		0		ultraviolete	et
ultraviolete		0		ultraviolet	ete
umbrișoară		1		umbră	ișoară
umbriță		1		umbră	iță
umeraș	1	1		umăr	aș
unchiaș	1	1		unchi	aș
unchișor	1	1		unchi	ișor
unchișor		1		unchi	ișor
uncropel	1	1		uncrop	el
unghioară		1		unghie	ioară
unghișoară		1		unghie	ișoară
unguraș	1	1		ungur	aș
unguroaică	Fem	0		ungur	ică
untișor	1	1		unt	ișor
urbanistică		0		urbanist	ică
urcioraș	1	1		urcior	aș
urcioruș		1		urcior	uș
urcuș		0		urcuș	uș
urechelniță		0		urecheală	iță
urechiușă		1		ureche	ușă
uremic		0		uree	ic
urmaș	A	0		urma	aș
urmuliță		1		urmă	uliță
uscăturică		1		uscătură	ică
uslaș	A	0	USLA	usla	aș
vaporaș	1	1		vapor	aș
vatmaniță	Fem	0		vatman	iță
văcușoară		1		vacă	ușoară
văduvioară		1		văduvă	ioară
văduviță		1		văduv	iță
vălișoară		1		vale	ișoară
vălurel	1	1		val	urel
văratic		0		vărat	ic
vărguliță		1		vargă	uliță
vătășel	1	1		vătaf	el
vânticel	1	1		vânt	icel
vânticel		1		vânt	icel
vântișor	1	1		vânt	ișor
vântișor		1		vânt	ișor
vântuleț		1		vânt	uleț
vânturel	1	1		vânt	urel
vântușor		1		vânt	ușor
vârfuleț		1		vârf	uleț
vârfușor		1		vârf	ușor
vâslaș	1	1		vâslă	aș
vâslișoară		1		vâslă	ișoară
venetică		0		venet	ică
vergel	1	1		vergea	el
verigel	1	1		verigă	el
verișoară		1		vară	ișoară
verișor	1	1		văr	ișor
verișorică		1		văr	ică
versurel	1	1		vers	urel
verzișor	1	1		verde	ișor
vetrișoară		1		vatră	ișoară
viermișor	1	1		vierme	ișor
viermișor		1		vierme	ișor
viermuleț		1		vierme	uleț
viermuș		1		vierme	uș
viermușor		1		vierme	ușor
vilișoară		1		vilă	ișoară
vinderel	1	1		vindereu	el
vinișor	1	1		vin	ișor
vinuleț		1		vin	uleț
vistiernic		0		vistier	ic
vistiernicel	1	1		vistiernic	el
vistiernicel		1		vistier	icel
vișinel	1	1		vișin	el
vișinică		1		vișină	ică
vitișoară		1		vită	ișoară
vițeluș		1		vițel	uș
vițelușă		1		vițea	ușă
vloggeriță	Fem	0		vlogger	iță
voinicaș	1	1		voinic	aș
voinicel	1	1		voinic	el
voinicuț		1		voinic	uț
volănaș	1	1		volan	aș
volintiraș	1	1		volintir	aș
volocel	1	1		voloc	el
volumaș	1	1		volum	aș
vorbișoară		1		vorbă	ișoară
vorbuliță		1		vorbă	uliță
vorbușoară		1		vorbă	ușoară
vornicel	1	1		vornic	el
vorniciță	Fem	0		vornic	iță
vrescurel	1	1		vreasc	urel
vulpișoară		1		vulpe	ișoară
vulpiță		1		vulpe	iță
vulpoaică	Fem	0		vulpe	ică
vulturaș	1	1		vultur	aș
vulturel	1	1		vultur	el
vulturoaică	Fem	0		vultur	ică
zambilică		1		zambilă	ică
zarzavagioaică	Fem	0		zarzavagiu	ică
zavragioaică	Fem	0		zavragiu	ică
zăbunaș	1	1		zăbun	aș
zăbunel	1	1	înv., pop.	zăbun	el
zăhărel	1	1		zahăr	el
zănatic		0		zănat	ic
zărzăraș	1	1		zarzăr	aș
zărzărel	1	1		zarzăr	el
zărzărică		1		zarzără	ică
zăvoraș	1	1		zăvor	aș
zânișoară		1		zână	ișoară
zeiță	Fem	0		zeu	iță
zestraș	A	0		zestre	aș
zestrișoară		1		zestre	ișoară
zgăibuliță		1		zgaibă	uliță
zgărdiță		1		zgardă	iță
zgrăbunțică		1		zgrăbunță	ică
zgripțoraș	1	1	monedă	zgripțor	aș
zgripțuroaică		0		zgripțuroi	ică
ziaristică		0		ziarist	ică
zicaș	A	0		zice	aș
zicălaș	A	0	lăutar	zice	ălaș
zidurel	1	1	zid + ur + el	zid	urel
zilaș	A	0	zilier	zi	laș
zimțișor	1	1		zimț	ișor
zimțișor		1		zimț	ișor
zlotaș	A	0	perceptor impozite	zlot	aș
zmeoaică	Fem	0		zmeu	ică
zmeuleț		1		zmeu	uleț
zmeuret		0		zmeur	et
zootehnică		0		zootehnie	ică
zulufel	1	1		zuluf	el
zvârlet		0		zvârli	et
zvonistică		0		zvonist	ică
