Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
burtică		1		burtă	ică
burticică		1		burtă	icică
butoiaș	1	1		butoi	aș
butucaș	1	1		butuc	aș
butucel	1	1		butuc	el
buzișoară		1		buză	ișoară
buzunăraș	1	1		buzunar	aș
buzunărel	1	1		buzunar	el
cafegioaică	Fem	0		cafegiu	ică
caicel	1	1	ca`ic	caic	el
caiețel	1	1		caiet	el
canonic		0		canon	ic
cantonieriță	Fem	0		cantonier	iță
capitălaș	1	1		capital	aș
capoțel	1	1		capot	el
carabușcă		1		carabă	ușcă
caraulaș	1	1	fem - strajă, străjer	caraulă	aș
caretaș	A	0		caretă	aș
carnețel	1	1		carnet	el
cartofior		1		cartof	ior
cartonaș	1	1		carton	aș
casieriță	Fem	0		casier	iță
castravecior		1		castravete	ior
castronaș	1	1		castron	aș
castronel	1	1		castron	el
cazacioc		0		cazac	oc
cazuistică		0		cazuist	ică
căciuliță		1		căciulă	uliță
căftănel	1	1		caftan	el
căierel	1	1	`ca-ier	caier	el
căișor	1	1		cal	ișor
călăraș	A	0		călare	aș
călcâiaș	1	1		călcâi	aș
căldăraș	A	0		căldare	aș
căldărușă		1		căldare	ușă
căldurică		1		căldură	ică
călțunaș	1	1		călțun	aș
călugăraș	1	1		călugăr	aș
călugăriță	Fem	0		călugăr	iță
călușel	1	1		căluș	el
cămăraș	A	0		cămară	aș
cămărășel	1	1		cămăraș	el
cămărășiță	Fem	0		cămăraș	iță
cămășuică		1		cămașă	uică
cănăraș	1	1		canar	aș
căpăcel	1	1	ordine	capac	el
căpicioară		1		căpiță	ioară
căpitălaș	1	1		capital	aș
căpitănaș	1	1		căpitan	aș
căprioraș	1	1		căprior	aș
căprișoară		1		capră	ișoară
căpșunică		1		căpșun	ică
cărăbușel	1	1		cărăbuș	el
cărăruică		1		cărare	uică
cărărușă		1		cărare	ușă
cărășel	1	1	ca`ras	caras	el
cărbunaș	1	1		cărbune	aș
cărnicică		1		carne	icică
cărnișoară		1		carne	ișoară
cărpinaș	A	0		carpen	aș
cărțișoară		1		carte	ișoară
căruțaș	A	0		căruță	aș
căscioară		1		căsuță	ioară
căsișoară		1		casă	ișoară
cătăniță		1		cătană	iță
cățeluș		1		cățel	uș
cățelușă		1		cățea	ușă
căușel	1	1		căuș	el
căuzaș	A	0		cauză	aș
căvălaș	1	1		caval	aș
căzănel	1	1	ordine	cazan	el
câmpușor		1		câmp	ușor
cânepioară		1		cânepă	ioară
cântecel	1	1		cântec	el
cârciumăriță	Fem	0		cârciumar	iță
cârciumioară		1		cârciumă	ioară
cârcotaș	A	0		cârcotă	aș
cârdișor	1	1		cârd	ișor
cârdișor		1		cârd	ișor
cârlănaș	1	1		cârlan	aș
cârligaș	1	1		cârlig	aș
cârligel	1	1		cârlig	el
cârpișoară		1		cârpă	ișoară
cârpușoară		1		cârpă	ușoară
ceaunaș	1	1		ceaun	aș
ceaușel	1	1		ceauș	el
celărel	1	1		celar	el
cepușoară		1		ceapă	ușoară
cercănel	1	1		cearcăn	el
cerceluș		1		cercel	uș
cercetaș	A	0		a cerceta	aș
cerculeț		1		cerc	uleț
cercurel	1	1		cerc	urel
cercușor		1		cerc	ușor
cerdăcel	1	1		cerdac	el
ceroplastică		0		coroplast	ică
ceșculiță		1		ceașcă	uliță
cetaș	A	0		ceată	aș
ceteraș	A	0		ceteră	aș
cetiniță		1		cetină	iță
chefuleț		1		chef	uleț
chefușor		1		chef	ușor
cheiță		1		cheie	iță
chelăriță	Fem	0		chelar	iță
chelneriță	Fem	0		chelner	iță
chenăraș	1	1		chenar	aș
chiaburaș	1	1		chiabur	aș
chiaburoaică	Fem	0		chiabur	ică
chiculiță		1		chică	uliță
chilioară		1		chil	ioară
chilipirgioaică	Fem	0		chilipirgiu	ică
chimiraș	1	1		chimir	aș
chinezoaică	Fem	0		chinez	ică
chinguliță		1		chingă	uliță
chipușor		1		chip	ușor
chiriaș	A	0		chirie	aș
chirighiță	Fem	0		chirigiu	iță
chiulangioaică		0		chiulangiu	ică
cimbrișor	1	1		cimbru	ișor
cimbrișor		1		cimbru	ișor
cimpoiaș	1	1		cimpoi	aș
cincărel	1	1		cincar	el
ciobănaș	1	1		cioban	aș
ciobănel	1	1		cioban	el
ciobăniță		1		cioban	iță
ciobuleț		1		ciob	uleț
ciocănaș	1	1		ciocan	aș
ciocănel	1	1		ciocan	el
ciocoaică	Fem	0		ciocoi	ică
ciocoiaș	1	1		ciocoi	aș
cioculeț		1		cioc	uleț
ciolănaș	1	1		ciolan	aș
ciolănel	1	1		ciolan	el
ciomăgaș	1	1		ciomag	aș
ciomăgel	1	1		ciomag	el
cioroaică	Fem	0		cioroi	ică
ciortănaș	1	1	crap mic	ciortan	aș
citodiagnostic		0		diagnoză	ic
ciubăraș	1	1		ciubăr	aș
ciuboțică		1		ciubotă	ică
ciuciulete		0		ciuciur	ete
ciucuraș	1	1		ciucure	aș
ciucurel	1	1		ciucure	el
ciurel	1	1		ciur	el
cizmuliță		1		cizmă	uliță
claponaș	1	1		clapon	aș
claviraș	1	1		clavir	aș
clăcaș	A	0		clacă	aș
cleștișor	1	1		clește	ișor
cleștișor		1		clește	ișor
clocoțel	1	1	planta?	clocot	el
clondiraș	1	1		clondir	aș
clopotniță		0		clopot	iță
clopoțel	1	1		clopot	el
cobiliță		1		cobilă	iță
cobzișoară		1		cobză	ișoară
cocoșel	1	1		cocoș	el
codaș	A	0		coadă	aș
codănel	1	1		codan	el
codruleț		1		codru	uleț
cofăiaș	1	1		cofei	aș
cofăiel	1	1		cofei	el
cojocel	1	1		cojoc	el
colăcel	1	1		colac	el
colhoznic		0		colhoz	ic
colibaș	A	0		colibă	aș
colivioară		1		colivă	ioară
colnicel	1	1		colnic	el
colniță		1		colnă	iță
coltucel	1	1		coltuc	el
colțișor	1	1		colț	ișor
colțișor		1		colț	ișor
colțuleț		1		colț	uleț
colțunaș	1	1		colțun	aș
comedioară		1		comedie	ioară
comișel	1	1		comis	el
completaș	A	0	soldat	a completa	aș
complotaș	A	0		complot	aș
condeiaș	1	1		condei	aș
conduraș	1	1		condur	aș
contășel	1	1		contăș	el
contișor	1	1		cont	ișor
contișor		1		cont	ișor
contrapiuliță		0		centraj	uliță
copăcel	1	1		copac	el
copilaș	1	1		copil	aș
copiliță		1		copilă	iță
copoiaș	1	1		copoi	aș
corbișor	1	1		corb	ișor
corbișor		1		corb	ișor
corbuleț		1		corb	uleț
corbușor		1		corb	ușor
corcodel	1	1	pasăre (onomat.) NOT IN DOOM3	corcod	el
cordonaș	1	1		cordon	aș
coridoraș	1	1		coridor	aș
cornățel	1	1	planta	corn	ățel
cornișor	1	1		corn	ișor
cornișor		1		corn	ișor
cornuleț		1		corn	uleț
cortel	1	1	înv., reg.	cort	el
cortelaș	A	0	cortel din magh	cortel	aș
cortuleț		1		cort	uleț
cosaș	A	0		a cosi	aș
cosăcel	1	1		cosac	el
cosițel	1	1	plantă	cosiță	el
cosmonautică		0		cosmonaut	ică
coșuleț		1		coș	uleț
cotișor	1	1		cot	ișor
cotlonaș	1	1		cotlon	aș
covățică		1		covată	ică
covoraș	1	1		covor	aș
covrigel	1	1		covrig	el
crăișor	1	1		crai	ișor
crăpăturică		1		crăpătură	ică
crăticioară		1		cratiță	ioară
crâmpeiaș	1	1		crâmpei	aș
crânguleț		1		crâng	uleț
crângușor		1		crâng	ușor
crâșmăriță	Fem	0		crâșmar	iță
crâșmuliță		1		crâșmă	uliță
crâșmușoară		1		crâșmă	ușoară
creionaș	1	1		creion	aș
crenguliță		1		creangă	uliță
crețișor	1	1	planta	creț	ișor
crețișor		1		creț	ișor
criminalistică		0		criminalist	ică
cromatică		0		cromat	ică
cruciță		1		cruce	iță
cruciuliță		1		cruce	uliță
cuconaș	1	1		cucon	aș
cuconet		0		cucon	et
cuconiță		1		cucoană	iță
cufăraș	1	1		cufăr	aș
cuibuleț		1		cuib	uleț
cuibușor		1		cuib	ușor
cuișor	1	1		cui	ișor
cuișor		1		cui	ișor
culpaș	A	0		culpă	aș
cumetrel	1	1		cumătru	el
cumetriță		1		cumătră	iță
cumnățel	1	1		cumnat	el
cumnățică		1		cumnată	ică
cununiță		1		cunună	iță
cuptoraș	1	1		cuptor	aș
curcănaș	1	1		curcan	aș
curticică		1		curte	icică
cuscrișor	1	1		cuscru	ișor
cuscrișor		1		cuscru	ișor
cusurgioaică	Fem	0		cusurgiu	ică
cutioară		1		cutie	ioară
cuțitaș	1	1		cuțit	aș
cuvințel	1	1		cuvânt	el
cvadruplet		0		cvadrupli	et
cvartet		0		cvartă	et
cvintet		0		cvintă	et
dalmatică		0		dalmat	ică
dăltiță		1		daltă	iță
dăscălaș	1	1		dascăl	aș
dăscăliță	Fem	0		dascăl	iță
dăunaș	A	0		daună	aș
dâmbuleț		1		dâmb	uleț
dâmbușor		1		dâmb	ușor
dârlogel	1	1		dârlog	el
decrețel	1	1	sens!	decret	el
dedițel	1	1		dediță	el
degetăruț		1		degetar	uț
degețel	1	1		deget	el
delușor		1		deal	ușor
dentistică		0		dentist	ică
desăgel	1	1		desagă	el
diabetic		0		diabet	ic
diaconic		0		diacon	ic
diaforetic		0		diaforeză	ic
dialectică		0		dialect	ică
