cultiva	cultivare	cultivat
cumpăra	cumpărare	cumpărat
cunoaște	cunoaștere	cunoscut
cuprinde	cuprindere	cuprins
curge	curgere	curs
cutremura	cutremurare	cutremurat
cuveni	cuvenire	cuvenit
da	dare	dat
dansa	dansare	dansat
datora	datorare	datorat
debuta	debutare	debutat
deceda	decedare	decedat
decide	decidere	decis
declara	declarare	declarat
decurge	decurgere	decurs
dedica	dedicare	dedicat
defini	definire	definit
definitiva	definitivare	definitivat
delega	delegare	delegat
demara	demarare	demarat
demisiona	demisionare	demisionat
demite	demitere	demis
demonstra	demonstrare	demonstrat
denumi	denumire	denumit
deosebi	deosebire	deosebit
depăși	depășire	depășit
depinde	depindere	deprins
depista	depistare	depistat
deplasa	deplasare	deplasat
depune	depunere	depus
deranja	deranjare	deranjat
derula	derulare	derulat
deschide	deschidere	deschis
descoperi	descoperire	descoperit
descrie	descriere	descris
descurca	descurcare	descurcat
desemna	desemnare	desemnat
desprinde	desprindere	desprins
destina	destinare	destinat
determina	determinare	determinat
deveni	devenire	devenit
dezvolta	dezvoltare	dezvoltat
diferi	diferire	diferit
difuza	difuzare	difuzat
diminua	diminuare	diminuat
discuta	discutare	discutat
dispărea		dispărut	dispariție
dispune	dispunere	dispus
disputa	disputare	disputat
distra	distrare	distrat
distribui	distribuire	distribuit
distruge	distrugere	distrus
domina	dominare	dominat
dona	donare	donat
dori	dorire	dorit
dormi	dormire	dormit
dota	dotare	dotat
dovedi	dovedire	dovedit
dubla	dublare	dublat
duce	ducere	dus
dura	durare	durat
durea	durere	durut
efectua	efectuare	efectuat
egala	egalare	egalat
elabora	elaborare	elaborat
elibera	eliberare	eliberat
elimina	eliminare	eliminat
emite	emitere	emis
enerva	enervare	enervat
estima	estimare	estimat
evalua	evaluare	evaluat
evita	evitare	evitat
evolua	evoluare	evoluat
exclude	excludere	exclus
executa	executare	executat
exercita	exercitare	exercitat
exista	existare	existat
expira	expirare	expirat
explica	explicare	explicat
exploda	explodare	explodat
exporta	exportare	exportat
exprima	exprimare	exprimat
expune	expunere	expus
extinde	extindere	extins
extrage	extragere	extras
fabrica	fabricare	fabricat
face	facere	făcut
felicita	felicitare	felicitat
feri	ferire	ferit
fi	fire	fit
filma	filmare	filmat
finaliza	finalizare	finalizat
fixa	fixare	fixat
flutura	fluturare	fluturat
folosi	folosire	folosit
forma	formare	format
formula	formulare	formulat
frige	frigere	fript
fugi	fugire	fugit
fura	furare	furat
furniza	furnizare	furnizat
garanta	garantare	garantat
găsi	găsire	găsit
gândi	gândire	gândit
genera	generare	generat
gestiona	gestionare	gestionat
gusta	gustare	gustat
hotărî	hotărîre	hotărît
identifica	identificare	identificat
ieși	ieșire	ieșit
ignora	ignorare	ignorat
imagina	imaginare	imaginat
implica	implicare	implicat
importa	importare	importat
impresiona	impresionare	impresionat
impune	impunere	impus
inaugura	inaugurare	inaugurat
include	includere	inclus
indica	indicare	indicat
informa	informare	informat
insista	insistare	insistat
inspira	inspirare	inspirat
instala	instalare	instalat
interesa	interesare	interesat
interveni	intervenire	intervenit
interzice	interzicere	interzis
intitula	intitulare	intitulat
intra	intrare	intrat
introduce	introducere	introdus
inunda	inundare	inundat
inventa	inventare	inventat
investi	investire	investit
invita	invitare	invitat
invoca	invocare	invocat
iubi	iubire	iubit
izbucni	izbucnire	izbucnit
izola	izolare	izolat
