Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
mestecănaș	1	1		mesteacăn	aș
meșteraș	1	1		meșter	aș
mijlocaș	1	0		mijloc	aș
mocănaș	1	1		mocan	aș
morunaș	1	1		morun	aș
morăraș	1	1		morar	aș
mosoraș	1	1		mosor	aș
motoraș	1	1		motor	aș
motănaș	1	1		motan	aș
muguraș	1	1		mugur	aș
mundiraș	1	1		mundir	aș
mânaș	1	0		a mâna	aș
mălăiaș	1	1		mălai	aș
mănunchiaș	1	1		mănunchi	aș
mărginaș	1	0		margine	aș
mărgărităraș	1	1		mărgăritar	aș
mărăcinaș	1	1		mărăcine	aș
mărăraș	1	1		mărar	aș
negustoraș	1	1		negustor	aș
nevoiaș	1	0		nevoie	aș
nouraș	1	1		nour	aș
nuntaș	1	0		nuntă	aș
nănaș	1	1		nun	aș
năsturaș	1	1		nasture	aș
oblonaș	1	1		oblon	aș
ocnaș	1	0		ocnă	aș
ocolaș	1	1		ocol	aș
odoraș	1	1		odor	aș
odăiaș	1	0		odaie	aș
ofițeraș	1	1		ofițer	aș
ogoraș	1	1		ogor	aș
ogrădaș	1	0		ogradă	aș
orândaș	1	0		orândă	aș
ostaș	1	0		oaste	aș
paltonaș	1	1		palton	aș
paneraș	1	1		paner	aș
pantalonaș	1	1		pantalon	aș
papucaș	1	1		papuc	aș
pardesiaș	1	1		pardesiu	aș
pedestraș	1	0		pedestru	aș
pelinaș	1	1		pelin	aș
pepenaș	1	1		pepene	aș
pescăraș	1	1		pescar	aș
pieptănaș	1	1		pieptăn	aș
pieptăraș	1	1		pieptar	aș
pihotaș	1	0		pihotă	aș
pintenaș	1	1		pinten	aș
pisoiaș	1	1		pisoi	aș
pistolaș	1	1		pistol	aș
pizmaș	1	0		pizmă	aș
pleșcaș	1	0		pleașcă	aș
ploconaș	1	1		plocon	aș
ploscaș	1	0		ploscă	aș
plutaș	1	0		plută	aș
pocheraș	1	1		pocher	aș
poetaș	1	1		poet	aș
pogonaș	1	1		pogon	aș
pologaș	1	0		polog	aș
pontaș	1	0		a ponta	aș
porcoiaș	1	1		porcoi	aș
porumbaș	1	1		porumb	aș
potcaș	1	0		potcă	aș
poteraș	1	0		poteră	aș
potiraș	1	1		potir	aș
povestaș	1	0		poveste	aș
poștaș	1	0		poștă	aș
priboiaș	1	1		priboi	aș
pricinaș	1	0		pricină	aș
profesoraș	1	1		profesor	aș
prundaș	1	0	pasăre	prund	aș
prunduiaș	1	1		prund	aș
prundăraș	1	0	pasăre	prund	ăraș
prăvăliaș	1	0		prăvălie	aș
prăștiaș	1	0		praștie	aș
pumnaș	1	0		pumn	aș
pungaș	1	0		pungă	aș
purcelaș	1	1		purcel	aș
purcoiaș	1	1		porcoi	aș
puricaș	1	1		purice	aș
pușcaș	1	0		pușcă	aș
pușcăriaș	1	0		pușcărie	aș
pândaș	1	0		pândă	aș
pârâiaș	1	1		pârâu	aș
păcurăraș	1	1		păcurar	aș
păgubaș	1	0		pagubă	aș
păhăraș	1	1		pahar	aș
pălmaș	1	0		palmă	aș
păltinaș	1	1		paltin	aș
păraș	1	0	pescar cu parul	par	aș
părtaș	1	0		parte	aș
păstoraș	1	1		păstor	aș
păunaș	1	1		păun	aș
rachiaș	1	1		rachiu	aș
reporteraș	1	1		reporter	aș
românaș	1	1		român	aș
rotaș	1	0		roată	aș
ruptaș	1	0		rupt	aș
rândaș	1	0		a rândui	aș
rățoiaș	1	1		rățoi	aș
salonaș	1	1		salon	aș
schimbaș	1	0	soldat	schimb	aș
scorțăraș	1	1		scorțar	aș
scriitoraș	1	1		scriitor	aș
scăunaș	1	1		scaun	aș
sertăraș	1	1		sertar	aș
sibiaș	1	0	ață groasă	sibiu	aș
sicriaș	1	1		sicriu	aș
simbriaș	1	0		simbrie	aș
slujbaș	1	0		slujbă	aș
stejăraș	1	1		stejar	aș
strigoiaș	1	1	fluture	strigoi	aș
struguraș	1	1		strugure	aș
sulițaș	1	0		suliță	aș
surlaș	1	0		surlă	aș
surtucaș	1	1		surtuc	aș
sutaș	1	0		sută	aș
sâmbraș	1	0		sâmbră	aș
săgetaș	1	0	arcaș	săgeată	aș
talgeraș	1	1		talger	aș
tobaș	1	0		tobă	aș
tolbaș	1	0	negustor ambulant	tolbă	aș
toporaș	1	1		topor	aș
tovălaș	1	1		toval	aș
trandafiraș	1	1		trandafir	aș
trifoiaș	1	1		trifoi	aș
trompetaș	1	0		trompetă	aș
trâmbițaș	1	0		trâmbiță	aș
trăpaș	1	0		trap	aș
tulnicaș	1	0		tulnic	aș
târlaș	1	0		târlă	aș
tăbăraș	1	0	soldat	tabără	aș
tăciunaș	1	1		tăciune	aș
tărtănaș	1	1		tartan	aș
tătăraș	1	1		tătar	aș
tăuraș	1	1		taur	aș
ucigaș	1	0	Ucig (prezent indicativ popular al lui ucide)	ucig	aș
uiemaș	1	0		uium	aș
ulcioraș	1	1		ulcior	aș
umeraș	1	1		umăr	aș
unchiaș	1	1		unchi	aș
unguraș	1	1		ungur	aș
urcioraș	1	1		urcior	aș
urmaș	1	0		urma	aș
vaporaș	1	1		vapor	aș
voinicaș	1	1		voinic	aș
volintiraș	1	1		volintir	aș
volumaș	1	1		volum	aș
volănaș	1	1		volan	aș
vulturaș	1	1		vultur	aș
vâslaș	1	1		vâslă	aș
zestraș	1	0		zestre	aș
zgripțoraș	1	1	monedă	zgripțor	aș
zicaș	1	0		a zice	aș
zicălaș	1	0	lăutar	zicală	ălaș
zilaș	1	0	zilier	zi	laș
zlotaș	1	0	perceptor impozite	zlot	aș
zăbunaș	1	1		zăbun	aș
zărzăraș	1	1		zarzăr	aș
zăvoraș	1	1		zăvor	aș
înaintaș	1	0		înainte	aș
îngeraș	1	1		înger	aș
șerpăraș	1	1		șerpar	aș
șofrănaș	1	1		șofran	aș
știubeiaș	1	1		știubei	aș
țigănaș	1	1		țigan	aș
țimiraș	1	0	poștaș	țimir	aș
țintaș	1	0		țintă	aș
ținutaș	1	0		ținut	aș
țânțăraș	1	1		țânțar	aș
albinărel	1	1		albinar	el
alunel	1	1		alun	el
antrețel	1	1		antreu	ețel
argățel	1	1		argat	el
armășel	1	1		armaș	el
arnăuțel	1	1		arnăut	el
aușel	1	1	cuvânt dispărut not in DOOM3	auș	el
avocățel	1	1		avocat	el
băltăgel	1	1		baltag	el
bădițel	1	1		bădiță	el
băiețel	1	1		băiat	el
băloșel	1	1	planta (adj.)	bălos	el
bănuțel	1	1		bănuț	el
bărbățel	1	1		bărbat	el
bătrânel	1	1		bătrân	el
berbecel	1	1		berbec	el
bilețel	1	1		bilet	el
bobocel	1	1		boboc	el
bolovănel	1	1		bolovan	el
bostănel	1	1		bostan	el
botoșel	1	1		botoș	el
bourel	1	1		bour	el
brădățel	1	1		brădet	el
brebenel	1	1	plantă	breabăn	el
brotăcel	1	1		brotac	el
brumărel	1	1		brumar	el
bucățel	1	1	(planta) -ea + el	bucățea	el
buchețel	1	1		buchet	el
bujorel	1	1		bujor	el
bumbăcel	1	1		bumbac	el
bunel	1	1		bun	el
burdușel	1	1		burduf	el
burețel	1	1		buret	el
bursucel	1	1		bursuc	el
butucel	1	1		butuc	el
buzunărel	1	1		buzunar	el
căftănel	1	1		caftan	el
caicel	1	1	ca`ic	caic	el
căierel	1	1	`ca-ier	caier	el
caiețel	1	1		caiet	el
căpăcel	1	1	ordine	capac	el
capoțel	1	1		capot	el
cărășel	1	1	ca`ras	caras	el
carnețel	1	1		carnet	el
castronel	1	1		castron	el
căzănel	1	1	ordine	cazan	el
călușel	1	1		căluș	el
cămărășel	1	1		cămăraș	el
cărăbușel	1	1		cărăbuș	el
căușel	1	1		căuș	el
cântecel	1	1		cântec	el
cârligel	1	1		cârlig	el
cercănel	1	1		cearcăn	el
ceaușel	1	1		ceauș	el
celărel	1	1		celar	el
cercurel	1	1		cerc	urel
cerdăcel	1	1		cerdac	el
cincărel	1	1		cincar	el
ciobănel	1	1		cioban	el
ciocănel	1	1		ciocan	el
ciolănel	1	1		ciolan	el
ciomăgel	1	1		ciomag	el
ciucurel	1	1		ciucure	el
ciurel	1	1		ciur	el
clocoțel	1	1	planta?	clocot	el
clopoțel	1	1		clopot	el
cocoșel	1	1		cocoș	el
codănel	1	1		codan	el
cofăiel	1	1		cofei	el
cojocel	1	1		cojoc	el
colăcel	1	1		colac	el
colnicel	1	1		colnic	el
coltucel	1	1		coltuc	el
comișel	1	1		comis	el
contășel	1	1		contăș	el
copăcel	1	1		copac	el
corcodel	1	1	pasăre (onomat.) NOT IN DOOM3	corcod	el
cornățel	1	1	planta	corn	ățel
cortel	1	1	înv., reg.	cort	el
cosăcel	1	1		cosac	el
cosițel	1	1	plantă	cosiță	el
covrigel	1	1		covrig	el
cumetrel	1	1		cumătru	el
cumnățel	1	1		cumnat	el
cuvințel	1	1		cuvânt	el
dârlogel	1	1		dârlog	el
decrețel	1	1	sens!	decret	el
dedițel	1	1		dediță	el
degețel	1	1		deget	el
desăgel	1	1		desagă	el
diecel	1	1		diac	el
dovlecel	1	1		dovleac	el
făgețel	1	1		făget	el
fântânel	1	1	păstrăv	fântână	el
ficățel	1	1		ficat	el
firicel	1	1		fir	icel
flocoșel	1	1	ciupercă (adj)	flocos	el
fluturel	1	1		fluture	el
frăsinel	1	1		frasin	el
gărdurel	1	1	gard + ur + el	gard	urel
găvănoșel	1	1		gavanos	el
gândăcel	1	1		gândac	el
ghiocel	1	1		ghioc	el
ghiozdănel	1	1		ghiozdan	el
