Noun	Entry
a	1
aba	1
abac
abaca
abacă
abager
abagerie
abagiu
abajur
abandon
abandonare
abanos
abataj
abate	1
abatere
abatesă
abatiză
abator
abație
abazie
abces
abdicare
abdomen
abdominalgie
abducție
abecedar
aberație
aberoscop
abhaz
abietacee
abietinee
abilitare
abilitate
abis
abisinian
abjecție
abjudecare
abjurare
ablativ
ablație
ablațiune
ablaut
ablefarie
ablegat
ablepsie
abluțiune
abnormitate
abolire
aboliționist
abolițiune
abonament
abonare
abonat
abord
abordaj
abordare
aborigen
abortiv	1
abrazare
abraziune
abraziv	1
abrazor
abreviator
abreviație
abreviere
abrogare
abrogație
abrudean
abrudeanca
abrudeancă
abrupt	1
abrutizare
abscisă
abscizie
absenteist
absență
absidă
absidiolă
absint
absolut	1
absolutizare
absolutoriu	1
absoluțiune
absolvent
absolventă
absolvență
absolvire
absorbant	1
absorbire
absorbitor	1
absorbție
abstenționist
abstențiune
abstinent
abstinentă
abstinență
abstract	1
abstractizare
abstracție
abstragere
absurditate
abțibild
abținere
abulic
abulie
abur
abureală
aburire
abuz
abuzator
ac
acacie
acadea
academician
academiciană
academie
acadian	1
acaju	1
acalefă
acantacee
acantă
acantocefal
acantoză
acaparare
acar	1
acar	1
acaret
acarian
acaricid	1
acarinată
acarioză
acarniță
acatagrafie
acatalepsie
acatist
acaț
acaustobiolit
acăriță
accelerare
accelerat	1
accelerator	1
accelerație
accelerograf
accelerometru
accent
accentuare
acceptare
acceptor	1
accepție
acces	1
acces	1
accesiune
accesoriu	1
accident	1
accident	1
accidentare
accidențar
accidență
accizare
acciză
aceracee
aceră
acetaldehidă
acetamidă
acetat
acetazolamidă
acetil
acetilare
acetilură
acetobutirat
acetofenonă
achenă
achiesare
achilie
achingiu
achitare
achiu	1
achiu	1
achizitoare
achizitor
achiziție
achiziționare
acicul
acid	1
acidamină
acidifiant
acidificare
acidimetrie
acidimetru
acidulare
acil
acin
acioală
acipenserid
aciuaș
aclamare
aclamație
aclimatizare
acoi
acoladă
acolit
acolită
acomodare
acompaniament
acompaniatoare
acompaniator
acompaniere
aconit
aconitină
acont
acontare
acoperământ
acoperire
acoperiș
acoperitoare
acord
acordaj
acordant
acordantă
acordare
acordeon
acordeonist
acordeonistă
acordor	1
acordor	1
acostament
acostare
acotiledonată
acotiledonă
acraniat
acreală
acreditare
acreditiv
acrescământ
acridă
acridină
acrilat
acrire
acritură
acrobat
acrobată
acrobație
acroleină
acrolit
acromat	1
acromat	1
acromion
acronim
acropolă
acrospor
acrostih
acrostol
acroșaj
acroșare
acroteră
acru	1
act
acta
actant
acteonela
actinid
actinie
actinodon
actinograf
actinometru
actinomicet
actinopterigian
activ	1
activ	1
activant	1
activare
activator	1
activist
activistă
activitate
activizare
actor
actoraș
actoriță
actriță
actualitate
actualizare
actuar
acționar
acționară
acționare
acțiune
acuarelă
acuarelist
acuarelistă
aculeată
aculeol
aculeu
acumetru
acumulare
acumulator	1
acumulator	1
acuplaj
acupunctor
acustician
acusticiană
acușor
acuzat
acuzată
acuzativ
acuzator
acuzație
acuză
acvaforte
acvafortist
acvafortistă
acvanaut
acvanaută
acvariu
acvatintă
acvilă
acvilidă
adagietto	1
adagio	1
adagiu
adamant
adamit
adamită
adaos
adaptare
adaptație
adaptor
adăpătoare
adăpost
adăugare
adânc	1
adâncime
adâncire
adâncitor
adâncitură
adducție
ademeneală
ademenire
adendă
adenită
adenocarcinom
adenofibrom
adenohipofiză
adenoidită
adenom
adenopatie
adenotomie
adept
adeptă
aderare
aderent
aderență
adevăr
adeverință
adeverire
adeziune
adeziv	1
adiabată
adiator
adidas
adiere
aditiv	1
adiție
adițională
adiționare
adjectiv
